chr	pos	annotation	SIFT	POLYPHEN	maxCADD	priPhCons	GerpRS	FATHMM	benign
chr1	52861871	missense_variant	0.13	0.012	4.768	0.046	NA	0.05437	benign
chr1	53668063	missense_variant	0.11	0.012	22.5	0.718	423.8	0.95488	benign
chr1	53679229	missense_variant	0.01	0.008	22.2	0.994	1081.5	0.99260	benign
chr1	55464986	missense_variant	0.83	0.009	0.004	0.752	520.8	0.04044	benign
chr1	55505668	missense_variant	0.07	0.078	15.53	0.713	148.2	0.29659	benign
chr1	55505668	missense_variant	0.12	0.003	16.10	0.713	148.2	0.28124	benign
chr1	55529187	missense_variant	1	0	5.043	0.000	NA	0.01000	benign
chr1	57340727	missense_variant	0.72	0.005	6.384	0.015	784.8	0.04521	benign
chr1	66036441	missense_variant	0.24	0.073	18.34	0.807	727.5	0.78377	benign
chr1	66058513	missense_variant	0.56	0.012	16.79	0.907	407.5	0.83767	benign
chr1	66075952	missense_variant	0.25	0.059	1.396	0.710	627.6	0.10407	benign
chr1	68903942	missense_variant	0.31	0.106	16.92	0.975	532.1	0.83289	benign
chr1	68904660	missense_variant	0.12	0.029	2.499	0.900	1968	0.45798	benign
chr1	68904742	missense_variant	0	1	26.9	0.986	1968	0.99752	benign
chr1	78392446	missense_variant	0.01	1	19.21	0.890	2834.7	0.99315	benign
chr1	78401664	missense_variant	0.13	0.999	25.7	0.941	942	0.99648	benign
chr1	94467447	missense_variant	0.15	0.425	5.811	0.950	444.5	0.21516	benign
chr1	94473846	missense_variant	0.07	0.017	23.1	0.915	237.2	0.95373	benign
chr1	94476467	missense_variant	0	0.653	25.2	0.071	361	0.97269	benign
chr1	94564483	missense_variant	0.01	0.104	24.2	0.933	656.3	0.93900	benign
chr1	100681587	missense_variant	0.3	0.002	4.235	0.005	NA	0.34859	benign
chr1	100681596	missense_variant	1	0.001	6.439	0.037	NA	0.08582	benign
chr1	100706416	missense_variant	0.11	0.002	7.192	0.061	370.7	0.10397	benign
chr1	109440215	missense_variant	0.25	0.994	17.43	0.538	592.9	0.98521	benign
chr1	109446750	missense_variant	0	0.93	22.1	0.984	514.1	0.99020	benign
chr1	109446750	missense_variant	0	0.93	21.3	0.984	514.1	0.99218	benign
chr1	109461341	missense_variant	0.11	0	16.07	0.835	711.3	0.08961	benign
chr1	109472327	missense_variant	0	0.997	22.3	0.977	839.1	0.99057	benign
chr1	113456546	missense_variant	1	0.001	1.500	0.020	3090.8	0.00759	benign
chr1	114441349	missense_variant	0.23	0.09	20.3	0.973	345.6	0.96926	benign
chr1	116310937	missense_variant	0.27	0.992	25.4	0.226	628.2	0.97069	benign
chr1	116310967	missense_variant	0.84	0	0.027	0.023	628.2	0.07724	benign
chr1	155208081	missense_variant	0.44	0.011	17.13	0.624	737.9	0.47478	benign
chr1	156106185	missense_variant	0	0.994	17.47	0.984	1567.5	0.52147	benign
chr1	156106185	missense_variant	0	0.987	16.93	0.984	1567.5	0.53614	benign
chr1	159175354	missense_variant	0.93	0	4.364	0.009	NA	0.00718	benign
chr1	160012270	missense_variant	0.34	0.121	23.5	0.990	4456.1	0.81084	benign
chr1	161326566	missense_variant	0.6	0.001	20.9	0.993	431.2	0.93141	benign
chr1	165652256	missense_variant	0.42	0.022	18.29	0.723	356.8	0.95010	benign
chr1	165652256	missense_variant	0.03	0.699	25.3	0.723	356.8	0.95162	benign
chr1	169563951	missense_variant	0.08	0.762	3.287	0.061	276.1	0.12280	benign
chr1	173802608	missense_variant	0.28	0.012	19.26	0.982	511.8	0.87135	benign
chr1	173823011	missense_variant	0.23	0.402	23.0	0.668	312.9	0.90490	benign
chr1	185976370	missense_variant	0.26	0.119	22.3	0.987	533.6	0.98859	benign
chr1	186050417	missense_variant	0.02	0.46	31	0.871	445.7	0.99625	benign
chr1	186052024	missense_variant	0.02	0.596	32	0.981	460.3	0.94740	benign
chr1	197059382	missense_variant	0.08	0.168	12.83	0.692	936.7	0.90906	benign
chr1	197061086	missense_variant	0.66	0.056	7.859	0.020	NA	0.08643	benign
chr1	197061086	missense_variant	0.34	0.276	22.2	0.020	NA	0.10203	benign
chr1	197062222	missense_variant	0.53	0.023	12.27	0.709	536.2	0.13183	benign
chr1	197070442	missense_variant	0.72	0.011	1.453	0.188	186.2	0.04993	benign
chr1	197070442	missense_variant	0.39	0.271	4.771	0.188	186.2	0.23105	benign
chr1	197070521	missense_variant	0.14	0.009	0.003	0.022	NA	0.08296	benign
chr1	197070594	missense_variant	0.68	0	2.090	0.089	1925.6	0.00062	benign
chr1	197070697	missense_variant	0.03	0.901	25.2	0.974	1925.6	0.81654	benign
chr1	197070805	missense_variant	0.61	0.004	0.088	0.191	1925.6	0.11916	benign
chr1	197070815	missense_variant	0.72	0.274	8.703	0.356	1925.6	0.10261	benign
chr1	197070901	missense_variant	1	0	17.94	0.413	1925.6	0.08588	benign
chr1	197072560	missense_variant	1	0	6.954	0.023	NA	0.04574	benign
chr1	197072752	missense_variant	0.05	0.913	16.93	0.764	2974.2	0.98315	benign
chr1	197072752	missense_variant	0.05	0.913	16.93	0.764	2974.2	0.98315	benign
chr1	197072752	missense_variant	0	0.989	16.09	0.764	2974.2	0.97133	benign
chr1	197072752	missense_variant	0	0.989	16.09	0.764	2974.2	0.97133	benign
chr1	197072802	missense_variant	0.14	0.382	14.76	0.320	2974.2	0.98485	benign
chr1	197073175	missense_variant	0	0.999	24.6	0.618	2974.2	0.99066	benign
chr1	197073196	missense_variant	0	0.954	29.7	0.922	2974.2	0.85522	benign
chr1	197073298	missense_variant	0	0.935	27.0	0.839	2974.2	0.32051	benign
chr1	197073298	missense_variant	0.01	0.724	24.7	0.839	2974.2	0.61169	benign
chr1	197073318	missense_variant	0.71	0	10.38	0.517	2974.2	0.03260	benign
chr1	197093361	missense_variant	0.05	0.737	15.46	0.309	450.5	0.12516	benign
chr1	197099068	missense_variant	0.03	0.382	18.26	0.971	401.9	0.22220	benign
chr1	197099068	missense_variant	0.48	0.004	5.184	0.971	401.9	0.17643	benign
chr1	197102681	missense_variant	0.15	0.012	10.87	0.997	639.2	0.13139	benign
chr1	197102704	missense_variant	0	0.931	27.8	0.972	639.2	0.99738	benign
chr1	197108936	missense_variant	0.06	0.981	21.5	0.658	321.7	0.99084	benign
chr1	197111931	missense_variant	0.4	0.014	4.831	0.117	1916.7	0.08791	benign
chr1	197112094	missense_variant	0.24	0.05	4.821	0.018	1916.7	0.31684	benign
chr1	197112534	missense_variant	0.02	0.444	7.914	0.051	1916.7	0.09053	benign
chr1	197112738	missense_variant	0.47	0.696	14.32	0.118	1916.7	0.63092	benign
chr1	197115345	missense_variant	0.13	0.598	9.079	0.009	NA	0.14914	benign
chr1	197115345	missense_variant	0.32	0.01	9.990	0.009	NA	0.15820	benign
chr1	198668761	missense_variant	0.06	0.997	8.228	0.059	129.5	0.83560	benign
chr1	198676063	missense_variant	0.36	0.016	0.001	0.000	NA	0.00490	benign
chr1	198691595	missense_variant	0.3	0.001	0.002	0.002	NA	0.00173	benign
chr1	201330429	missense_variant	0.26	0.009	20.6	0.986	267.8	0.78387	benign
chr1	201334382	missense_variant	0	1	23.4	0.804	449.6	0.88893	benign
chr1	211654619	missense_variant	0	0.998	32	0.872	699.5	0.86889	benign
chr1	215799170	missense_variant	0.07	0.354	21.3	0.907	331.3	0.96956	benign
chr1	215802242	missense_variant	0.11	0.213	17.20	0.501	451.2	0.92201	benign
chr1	215802247	missense_variant	0.01	0.143	17.50	0.456	451.2	0.94356	benign
chr1	215802298	missense_variant	0.05	0.287	11.21	0.018	451.2	0.67776	benign
chr1	215808007	missense_variant	0.02	0.54	7.465	0.119	484.9	0.23949	benign
chr1	215808022	missense_variant	1	0	7.065	0.078	484.9	0.00117	benign
chr1	215821909	missense_variant	1	0.001	13.94	0.067	538.4	0.03042	benign
chr1	215821939	missense_variant	0.3	0	13.75	0.002	538.4	0.09333	benign
chr1	215821939	missense_variant	1	0	8.567	0.002	538.4	0.01889	benign
chr1	215823944	missense_variant	0.42	0.004	7.692	0.017	NA	0.11436	benign
chr1	215823962	missense_variant	0.05	0.965	24.6	0.847	455.7	0.95887	benign
chr1	215844373	missense_variant	0.04	0.891	26.2	0.240	NA	0.82560	benign
chr1	215844463	missense_variant	0.25	0.02	3.233	0.765	272.4	0.51385	benign
chr1	215847490	missense_variant	0.01	0.905	25.4	0.172	1751.4	0.98207	benign
chr1	215847544	missense_variant	0.03	0.918	28.4	0.730	1751.4	0.77818	benign
chr1	215847544	missense_variant	0.14	0.048	23.2	0.730	1751.4	0.42872	benign
chr1	215847956	missense_variant	0.31	0.002	12.74	0.964	1751.4	0.06429	benign
chr1	215848436	missense_variant	0.7	0.004	0.004	0.008	1751.4	0.01361	benign
chr1	215848510	missense_variant	0.12	0.507	22.1	0.680	1751.4	0.85729	benign
chr1	215848510	missense_variant	0.07	0.111	12.18	0.680	1751.4	0.84778	benign
chr1	215848645	missense_variant	0.72	0.006	4.169	0.767	1751.4	0.02317	benign
chr1	215848808	missense_variant	0.94	0.003	0.011	0.378	1751.4	0.27036	benign
chr1	215901392	missense_variant	0.07	0.397	22.7	0.085	NA	0.51367	benign
chr1	215914751	missense_variant	0	0.999	25.9	0.973	311.6	0.95873	benign
chr1	215914826	missense_variant	0.33	0.001	0.002	0.764	311.6	0.03334	benign
chr1	215914826	missense_variant	0.33	0.001	0.001	0.764	311.6	0.02024	benign
chr1	215916563	missense_variant	0.1	0.09	22.6	0.788	891.8	0.77688	benign
chr1	215933042	missense_variant	0.67	0.017	10.70	0.958	513.6	0.17366	benign
chr1	215953266	missense_variant	0.09	0.801	23.1	0.997	3183.1	0.93237	benign
chr1	215953273	missense_variant	0.07	0.68	19.86	0.971	3183.1	0.17785	benign
chr1	215956113	missense_variant	0.4	0.003	9.294	0.601	404.1	0.66076	benign
chr1	215960167	missense_variant	1	0	11.74	0.048	252.9	0.02263	benign
chr1	215960167	missense_variant	1	0	11.74	0.048	252.9	0.02263	benign
chr1	215987222	missense_variant	1	0.001	0.002	0.046	NA	0.01065	benign
chr1	215990450	stop_gained	0	1	43	0.546	408.2	0.67144	benign
chr1	215990479	missense_variant	0.02	0.093	24.1	0.981	408.2	0.92352	benign
chr1	216011361	missense_variant	0.7	0.001	0.001	0.114	287.9	0.07877	benign
chr1	216011408	missense_variant	0.03	0.082	20.9	0.628	287.9	0.96167	benign
chr1	216011442	missense_variant	0.07	0.299	23.0	0.603	287.9	0.94027	benign
chr1	216051125	missense_variant	1	0	21.7	0.991	1436	0.19639	benign
chr1	216051157	missense_variant	1	0.001	21.2	0.996	1436	0.62327	benign
chr1	216051157	missense_variant	0.21	0.171	22.9	0.996	1436	0.81745	benign
chr1	216052206	missense_variant	0.71	0.005	0.300	0.071	1076.4	0.06294	benign
chr1	216052349	missense_variant	0.01	0.111	7.825	0.145	1076.4	0.16370	benign
chr1	216062306	missense_variant	0.1	0.027	18.59	0.997	900.4	0.43781	benign
chr1	216108098	missense_variant	0.01	0.199	16.99	0.540	300.7	0.62390	benign
chr1	216108128	missense_variant	0.29	0.04	19.18	0.864	300.7	0.97870	benign
chr1	216144049	missense_variant	0.54	0	10.88	0.573	1662.4	0.01969	benign
chr1	216166454	missense_variant	0.01	0.991	25.1	0.900	NA	0.92276	benign
chr1	216166484	missense_variant	0.01	0.006	22.4	0.805	74.6	0.69565	benign
chr1	216172299	missense_variant	0.1	0.314	22.4	0.948	396.6	0.44888	benign
chr1	216172380	missense_variant	0.24	0.062	20.8	0.510	396.6	0.92376	benign
chr1	216219781	missense_variant	1	0	12.49	0.098	71.7	0.03517	benign
chr1	216219781	missense_variant	1	0	12.49	0.098	71.7	0.03517	benign
chr1	216219841	missense_variant	0.02	0.764	14.81	0.975	900.8	0.93410	benign
chr1	216219858	missense_variant	0.1	0.271	17.21	0.989	900.8	0.68701	benign
chr1	216221962	missense_variant	0.64	0.011	11.78	0.996	4186.5	0.58550	benign
chr1	216243451	missense_variant	0.48	0	9.392	0.334	NA	0.00397	benign
chr1	216243499	missense_variant	0.35	0.003	5.022	0.079	NA	0.06292	benign
chr1	216243499	missense_variant	0.24	0.001	4.804	0.079	NA	0.00790	benign
chr1	216243517	missense_variant	0.02	0.68	14.42	0.890	3054	0.83266	benign
chr1	216243560	missense_variant	0	0.939	21.2	0.996	3054	0.96641	benign
chr1	216258213	missense_variant	0.06	0.007	16.20	0.953	449.9	0.60778	benign
chr1	216270469	missense_variant	0.01	0.927	25.4	0.993	745.8	0.85549	benign
chr1	216348635	missense_variant	0.06	0.481	19.08	0.982	207.2	0.35441	benign
chr1	216348678	missense_variant	0.7	0.008	0.063	0.095	NA	0.04081	benign
chr1	216348764	missense_variant	0.93	0.062	6.112	0.962	201.8	0.03189	benign
chr1	216348764	missense_variant	0.93	0.062	6.112	0.962	201.8	0.03189	benign
chr1	216348781	missense_variant	0.15	0.714	23.0	0.777	201.8	0.87580	benign
chr1	216373385	missense_variant	0.02	0.991	15.00	0.347	689.8	0.96207	benign
chr1	216373416	missense_variant	0.06	0.105	13.87	0.352	689.8	0.90468	benign
chr1	216420190	missense_variant	0	1	32	0.953	1477	0.85007	benign
chr1	216420214	missense_variant	0	0.978	24.8	0.113	1477	0.95785	benign
chr1	216420226	missense_variant	0.68	0.002	0.002	0.043	1477	0.01093	benign
chr1	216424275	missense_variant	0	0.997	27.6	0.998	5171.1	0.98908	benign
chr1	216424275	missense_variant	0	0.992	27.4	0.998	5171.1	0.97774	benign
chr1	216462662	missense_variant	0.38	0.048	22.4	0.674	150.2	0.97938	benign
chr1	216496932	missense_variant	0.15	0.073	23.1	0.990	559.2	0.90926	benign
chr1	216538391	missense_variant	0.08	0.374	14.02	0.565	408.2	0.06734	benign
chr1	216595306	missense_variant	1	0.001	0.716	0.736	NA	0.00646	benign
chr1	226026406	missense_variant	0.83	0	7.655	0.044	714.7	0.04124	benign
chr1	226026406	missense_variant	0.82	0.007	6.045	0.044	714.7	0.18532	benign
chr1	226125260	missense_variant	0.6	0.272	14.18	0.395	731.6	0.81335	benign
chr1	226125385	missense_variant	0.07	0.537	15.26	0.162	731.6	0.97306	benign
chr1	227149153	missense_variant	0.09	0.042	12.58	0.566	441.9	0.03717	benign
chr1	227152778	missense_variant	0.34	0	5.537	0.032	81.8	0.00025	benign
chr1	227171484	missense_variant	0.08	0.627	10.72	0.983	316.8	0.11847	benign
chr1	236907968	missense_variant	0.1	0.016	22.6	0.024	516	0.97996	benign
chr1	236908002	missense_variant	0	1	24.3	0.953	516	0.40046	benign
chr1	236910983	missense_variant	0.17	0.781	28.1	0.747	402.6	0.99047	benign
chr1	236914923	missense_variant	0.6	0	16.80	0.976	617.6	0.18404	benign
chr1	237619942	missense_variant	0.22	0.67	19.99	0.103	299.8	0.91546	benign
chr1	237730059	missense_variant	1	0.001	19.34	0.988	578.9	0.72348	benign
chr1	237754020	missense_variant	1	0	1.443	0.166	1003.8	0.73119	benign
chr1	237755076	missense_variant	0.24	0.012	17.03	0.777	358.2	0.94872	benign
chr1	237777582	missense_variant	0.01	0.991	13.93	0.975	1932.7	0.72737	benign
chr1	237777582	missense_variant	0.01	0.94	13.99	0.975	1932.7	0.75305	benign
chr1	245006474	missense_variant	0.99	0.002	7.842	0.209	NA	0.03866	benign
chr2	277003	missense_variant	0.44	0.051	19.46	0.998	756.9	0.92131	benign
chr2	20131079	missense_variant	0.11	0.08	23.4	0.697	306.1	0.93739	benign
chr2	20133254	missense_variant	0	0.007	18.52	0.902	378.3	0.87096	benign
chr2	26455127	stop_gained	0	1	37	0.997	589.9	0.99559	benign
chr2	26683769	missense_variant	0	1	22.3	0.984	664.6	0.94302	benign
chr2	26683874	missense_variant	0.26	0.342	21.2	0.878	664.6	0.91554	benign
chr2	26684679	missense_variant	0.31	0.441	17.81	0.602	893.2	0.19962	benign
chr2	26686896	missense_variant	0.06	0.002	15.33	0.320	409.7	0.59007	benign
chr2	26686909	missense_variant	0.02	0.828	26.5	0.498	409.7	0.89013	benign
chr2	26687761	missense_variant	0.12	0.044	21.6	0.525	534.4	0.96979	benign
chr2	26687761	missense_variant	0.26	0.045	18.37	0.525	534.4	0.97149	benign
chr2	26687824	missense_variant	0.01	0.813	26.8	0.914	534.4	0.85067	benign
chr2	26689988	missense_variant	0.75	0.006	15.82	0.976	458.1	0.84447	benign
chr2	26695500	missense_variant	0.52	0	1.860	0.035	412.8	0.69103	benign
chr2	26696125	missense_variant	1	0.954	22.1	0.960	500.7	0.96830	benign
chr2	26696374	missense_variant	0.68	0.999	26.7	0.879	684	0.92714	benign
chr2	26697422	missense_variant	0.74	0.014	20.8	0.900	632.8	0.25409	benign
chr2	26697422	missense_variant	0.27	0.265	22.7	0.900	632.8	0.34283	benign
chr2	26697422	missense_variant	0.57	0.005	22.2	0.900	632.8	0.26529	benign
chr2	26698277	missense_variant	0.01	0.992	24.0	0.235	521	0.80649	benign
chr2	26700099	missense_variant	0	0.914	27.6	0.997	416.5	0.74311	benign
chr2	26700373	missense_variant&splice_region_variant	0.02	0.582	32	0.536	320.1	0.98657	benign
chr2	26703734	missense_variant	0	0.282	23.3	0.656	827.3	0.95666	benign
chr2	26739290	missense_variant	0.01	0.951	34	0.949	567.4	0.94228	benign
chr2	26739290	missense_variant	0.09	0.436	23.7	0.949	567.4	0.94735	benign
chr2	26739428	missense_variant	0.08	0.176	22.4	0.220	567.4	0.91134	benign
chr2	26741960	missense_variant	0.6	0.745	26.5	0.758	343.6	0.92295	benign
chr2	26741961	missense_variant	0.21	0.01	22.6	0.752	343.6	0.69765	benign
chr2	26750769	missense_variant	0.07	0.197	23.0	0.873	407.1	0.87450	benign
chr2	26750782	missense_variant	0.01	0.999	34	0.613	407.1	0.95742	benign
chr2	26760624	missense_variant	0.19	0.992	29.6	0.995	217	0.85314	benign
chr2	37458898	missense_variant	0.56	0.326	13.00	0.015	NA	0.65661	benign
chr2	37459308	missense_variant	0.29	0.012	16.12	0.964	459.1	0.02180	benign
chr2	37471114	missense_variant&splice_region_variant	0.38	0.063	23.4	0.889	440.8	0.99121	benign
chr2	38298139	missense_variant	0.01	0.493	21.8	0.897	1495.5	0.92388	benign
chr2	38298139	missense_variant	0	0.895	22.1	0.897	1495.5	0.92885	benign
chr2	38298150	missense_variant	0.2	0.008	0.769	0.055	1495.5	0.10163	benign
chr2	38298169	missense_variant	0.37	0.003	11.65	0.646	1495.5	0.23378	benign
chr2	38298203	missense_variant	0.31	0.026	16.11	0.969	1495.5	0.18096	benign
chr2	38302177	missense_variant	0.1	0	9.295	0.001	2118.6	0.19726	benign
chr2	38302390	missense_variant	0.4	0	5.220	0.001	2118.6	0.02702	benign
chr2	39240646	missense_variant	0.2	0.024	22.7	0.997	2217.4	0.51805	benign
chr2	39241082	missense_variant	0.22	0.001	21.1	0.994	2217.4	0.71824	benign
chr2	39241107	missense_variant	1	0.019	22.3	0.997	2217.4	0.94036	benign
chr2	44175293	missense_variant	0.01	0.899	24.2	0.952	5232	0.99570	benign
chr2	44175293	missense_variant	0.01	0.762	24.6	0.952	5232	0.99334	benign
chr2	44190783	missense_variant	0.48	0.025	0.001	0.000	185.9	0.03909	benign
chr2	44190783	missense_variant	0.65	0.001	0.001	0.000	185.9	0.01473	benign
chr2	44223023	missense_variant	0.15	0	12.35	0.060	151.5	0.88300	benign
chr2	44223029	missense_variant	0.09	0	14.68	0.074	151.5	0.93228	benign
chr2	44223046	missense_variant	0.48	0	10.30	0.047	151.5	0.79128	benign
chr2	44223046	missense_variant	0.2	0	10.42	0.047	151.5	0.78581	benign
chr2	47596694	missense_variant	.	0	13.56	0.012	156.8	0.06081	benign
chr2	47596694	missense_variant	0.22	0.991	13.34	0.012	156.8	0.03516	benign
chr2	47601106	missense_variant	1	0.001	16.30	0.889	570.1	0.07602	benign
chr2	47604176	missense_variant	0.07	0.28	3.859	0.004	NA	0.02018	benign
chr2	47630353	missense_variant	0.11	0.004	22.3	0.995	790	0.92496	benign
chr2	47635645	missense_variant	1	0	0.781	0.011	555	0.43993	benign
chr2	47637246	missense_variant	0	0.936	23.3	0.071	994.1	0.99446	benign
chr2	47637246	missense_variant	0	0.979	24.2	0.071	994.1	0.99522	benign
chr2	47637459	missense_variant	0	1	29.6	0.581	994.1	0.99625	benign
chr2	47643457	missense_variant	0.22	0.03	23.0	0.967	528.8	0.96181	benign
chr2	47643457	missense_variant	0.09	0.222	23.3	0.967	528.8	0.96737	benign
chr2	47702290	missense_variant	0.23	0.004	15.47	0.923	915.7	0.51162	benign
chr2	47705476	missense_variant	0	0.999	32	0.989	795.9	0.99377	benign
chr2	48010488	missense_variant	.	0.092	14.02	0.094	288.5	0.04902	benign
chr2	48010488	missense_variant	.	0.063	12.97	0.094	288.5	0.13011	benign
chr2	48921438	missense_variant	0.87	0.026	20.9	0.968	1060.9	0.89919	benign
chr2	55872538	missense_variant	0.37	0.002	22.5	0.991	400.6	0.99680	benign
chr2	55912120	missense_variant	0.59	0.003	15.17	0.993	456.1	0.88103	benign
chr2	62053619	missense_variant	0.15	0	23.1	0.437	NA	0.13263	benign
chr2	62069482	missense_variant	0.06	0.099	22.5	0.732	NA	0.36536	benign
chr2	69650730	missense_variant	0.07	0.004	23.7	0.978	598.9	0.68251	benign
chr2	69659126	missense_variant	0.16	0.023	4.414	0.007	460.9	0.11905	benign
chr2	71163173	missense_variant	0.08	0.064	22.1	0.897	150.7	0.80775	benign
chr2	71170813	missense_variant	0.37	0.946	17.26	0.838	675.3	0.19245	benign
chr2	71187104	missense_variant	0.16	0.014	19.98	0.820	429.5	0.98739	benign
chr2	71192103	missense_variant	0.03	0.973	22.3	0.993	350.1	0.91468	benign
chr2	71351403	missense_variant	0.02	0.002	8.569	0.244	521.7	0.32746	benign
chr2	71351403	missense_variant	0.02	0.015	8.245	0.244	521.7	0.05457	benign
chr2	71351487	missense_variant	0.24	0.003	11.30	0.633	521.7	0.07288	benign
chr2	71738977	missense_variant	0.03	0.476	16.99	0.826	286.6	0.97539	benign
chr2	71740897	missense_variant	1	0.008	17.75	0.676	402.9	0.20094	benign
chr2	71740897	missense_variant	0.88	0.003	17.75	0.676	402.9	0.20094	benign
chr2	71740897	missense_variant	0.54	0.063	21.3	0.676	402.9	0.31261	benign
chr2	71740897	missense_variant	0.48	0.008	21.3	0.676	402.9	0.31261	benign
chr2	71795157	missense_variant	0.4	0.053	23.9	0.979	415.6	0.98825	benign
chr2	71801436	missense_variant	0	0.993	35	0.991	673.4	0.95826	benign
chr2	74177777	missense_variant	0.12	1	21.3	0.816	562.5	0.99201	benign
chr2	74689078	missense_variant	0.61	0.009	1.195	0.123	5160.7	0.11775	benign
chr2	74690039	missense_variant	1	0.001	11.94	0.552	5160.7	0.01524	benign
chr2	74690378	missense_variant	0.76	0.086	21.9	0.950	586.3	0.51291	benign
chr2	74692191	missense_variant	0.34	0.023	13.59	0.010	1741.7	0.55240	benign
chr2	85893741	missense_variant&splice_region_variant	1	0.001	1.385	0.016	180.2	0.00214	benign
chr2	85895338	missense_variant	0.6	0	0.064	0.011	279	0.00081	benign
chr2	86088311	missense_variant	1	0	11.40	0.462	350.2	0.04647	benign
chr2	96950323	missense_variant&splice_region_variant	0.1	0.029	23.0	0.765	924.5	0.96016	benign
chr2	105979752	missense_variant	1	0.014	17.47	0.858	626.4	0.93804	benign
chr2	105979900	missense_variant	0.48	0.199	22.0	0.998	626.4	0.92129	benign
chr2	110922243	missense_variant	1	0.902	12.37	0.004	NA	0.08798	benign
chr2	110959008	missense_variant	0.78	0.005	14.66	0.832	284	0.59241	benign
chr2	112656372	missense_variant&splice_region_variant	0.5	0.016	10.27	0.009	69.6	0.56512	benign
